63360 126216 
56466 56465 20 
56465 56398 16 
56443 56442 18 
56440 56439 14 
56439 56438 12 
56438 56374 20 
56438 56437 19 
56437 56373 15 
56437 56436 19 
56436 56372 12 
56436 56435 16 
56435 56371 18 
56435 56434 17 
56434 56370 16 
56433 56369 15 
56432 56368 11 
56432 56431 11 
56431 56367 11 
56430 56365 20 
56430 56429 19 
56429 56364 19 
56429 56428 17 
56428 56363 13 
56428 56427 11 
56427 56362 11 
56425 56360 12 
56424 56359 11 
56423 56358 18 
56412 56347 16 
56412 56411 17 
56411 56346 17 
56411 56410 15 
56410 56345 10 
56408 56343 10 
56408 56407 18 
56407 56342 13 
56407 56406 19 
56406 56341 18 
56406 56405 20 
56405 56340 14 
56405 56404 15 
56404 56339 16 
56403 56337 10 
56403 56402 16 
56402 56336 18 
56401 56400 15 
56400 56334 15 
56400 56399 11 
56399 56333 19 
56399 56398 11 
56398 56332 12 
56377 56376 12 
56376 56310 17 
56376 56375 20 
56375 56309 15 
56374 56308 17 
56374 56373 13 
56373 56307 17 
56373 56372 11 
56372 56306 15 
56372 56371 14 
56371 56305 19 
56371 56370 16 
56370 56304 19 
56369 56303 16 
56368 56302 15 
56368 56367 17 
56367 56301 10 
56367 56366 16 
56366 56300 11 
56366 56365 19 
56365 56299 17 
56365 56364 17 
56364 56298 16 
56364 56363 11 
56363 56297 14 
56363 56362 13 
56362 56296 16 
56361 56295 19 
56360 56294 12 
56359 56293 17 
56358 56292 17 
56357 56291 20 
56347 56281 12 
56347 56346 18 
56346 56280 16 
56346 56345 17 
56345 56279 19 
56344 56343 18 
56343 56342 19 
56342 56276 13 
56342 56341 19 
56341 56275 14 
56341 56340 12 
56340 56274 19 
56340 56339 10 
56339 56273 10 
56339 56338 19 
56338 56272 12 
56337 56270 15 
56337 56336 19 
56336 56269 13 
56336 56335 10 
56335 56268 20 
56334 56266 13 
56334 56333 16 
56333 56265 14 
56333 56332 19 
56332 56264 16 
56330 56262 16 
56329 56328 19 
56328 56260 16 
56328 56327 17 
56327 56326 12 
56326 56258 13 
56325 56257 14 
56311 56243 15 
56311 56310 12 
56310 56242 14 
56310 56309 11 
56309 56241 18 
56308 56232 14 
56308 56307 12 
56307 56231 13 
56307 56306 16 
56306 56230 14 
56306 56305 19 
56305 56229 13 
56305 56304 15 
56304 56228 20 
56303 56226 18 
56302 56224 16 
56302 56301 11 
56301 56223 17 
56301 56300 19 
56300 56222 18 
56300 56299 14 
56299 56221 14 
56299 56298 14 
56298 56220 19 
56298 56297 15 
56297 56219 17 
56297 56296 19 
56296 56218 12 
56296 56295 20 
56295 56217 17 
56295 56294 11 
56294 56216 12 
56293 56215 20 
56292 56214 18 
56281 56203 11 
56281 56280 15 
56280 56202 14 
56280 56279 19 
56279 56201 10 
56277 56276 19 
56276 56198 10 
56276 56275 18 
56275 56197 11 
56275 56274 17 
56274 56196 20 
56274 56273 18 
56273 56195 20 
56273 56272 13 
56272 56194 17 
56272 56271 12 
56271 56193 19 
56270 56191 19 
56270 56269 15 
56269 56190 19 
56269 56268 16 
56268 56189 15 
56268 56267 11 
56267 56188 17 
56266 56187 13 
56266 56265 17 
56265 56186 16 
56265 56264 20 
56264 56185 14 
56263 56184 16 
56262 56183 13 
56262 56261 20 
56261 56182 11 
56261 56260 17 
56260 56181 19 
56260 56259 16 
56259 56258 19 
56258 56179 19 
56258 56257 19 
56257 56178 16 
56244 56165 16 
56244 56243 12 
56243 56164 18 
56243 56242 18 
56242 56163 12 
56242 56241 12 
56241 56162 20 
56241 56240 19 
56240 56161 17 
56240 56239 19 
56239 56160 14 
56239 56238 10 
56238 56159 18 
56238 56237 12 
56237 56158 14 
56237 56236 14 
56236 56157 14 
56236 56235 15 
56235 56156 11 
56235 56234 16 
56234 56155 15 
56234 56233 19 
56233 56154 20 
56233 56232 14 
56232 56231 20 
56231 56153 18 
56231 56230 10 
56230 56152 12 
56230 56229 13 
56229 56151 11 
56229 56228 20 
56228 56150 15 
56228 56227 17 
56227 56149 18 
56226 56147 19 
56226 56225 19 
56225 56224 19 
56224 56146 16 
56224 56223 10 
56223 56145 17 
56223 56222 11 
56222 56144 18 
56222 56221 14 
56221 56143 18 
56221 56220 20 
56220 56142 15 
56220 56219 15 
56219 56218 20 
56217 56216 14 
56216 56141 12 
56215 56140 12 
56215 56214 19 
56214 56139 18 
56213 56138 19 
56203 56202 13 
56202 56127 20 
56202 56201 14 
56201 56126 16 
56199 56124 18 
56198 56123 10 
56197 56122 13 
56197 56196 18 
56196 56121 12 
56196 56195 10 
56195 56120 17 
56195 56194 17 
56194 56119 11 
56194 56193 18 
56193 56118 12 
56193 56192 16 
56192 56117 11 
56191 56116 18 
56191 56190 11 
56190 56115 13 
56190 56189 14 
56189 56114 15 
56189 56188 13 
56188 56113 12 
56187 56112 11 
56187 56186 17 
56186 56111 20 
56186 56185 10 
56185 56184 20 
56184 56109 17 
56183 56108 18 
56183 56182 17 
56182 56107 16 
56182 56181 12 
56181 56106 17 
56181 56180 18 
56180 56179 10 
56179 56178 19 
56177 56102 18 
56176 56101 19 
56166 56091 18 
56166 56165 16 
56165 56164 13 
56164 56089 14 
56164 56163 12 
56163 56088 16 
56163 56162 17 
56162 56087 14 
56162 56161 18 
56161 56086 15 
56161 56160 17 
56160 56085 14 
56160 56159 11 
56159 56084 11 
56159 56158 14 
56158 56083 10 
56158 56157 14 
56157 56082 15 
56157 56156 15 
56156 56081 12 
56156 56155 12 
56155 56080 10 
56155 56154 14 
56154 56079 19 
56153 56077 19 
56153 56152 17 
56152 56076 11 
56152 56151 15 
56151 56075 20 
56151 56150 16 
56150 56074 16 
56150 56149 12 
56149 56073 14 
56149 56148 10 
56148 56072 14 
56147 56067 15 
56146 56066 13 
56146 56145 12 
56145 56065 17 
56145 56144 16 
56144 56064 14 
56144 56143 14 
56143 56063 14 
56143 56142 10 
56142 56062 16 
56141 56140 11 
56140 56139 15 
56139 56061 12 
56138 56060 20 
56125 56047 13 
56124 56046 17 
56123 56045 10 
56122 56044 19 
56122 56121 18 
56121 56043 16 
56121 56120 20 
56120 56042 15 
56120 56119 10 
56119 56041 14 
56119 56118 18 
56118 56040 13 
56118 56117 11 
56117 56039 19 
56116 56036 13 
56116 56115 17 
56115 56035 13 
56115 56114 19 
56114 56034 16 
56114 56113 19 
56113 56033 15 
56112 56031 14 
56112 56111 20 
56111 56030 13 
56111 56110 11 
56110 56109 15 
56108 56029 17 
56107 56028 17 
56105 56026 18 
56105 56104 15 
56104 56025 15 
56104 56103 17 
56103 56024 19 
56103 56102 18 
56102 56023 18 
56102 56101 15 
56101 56022 12 
56101 56100 16 
56100 56021 11 
56090 56089 20 
56089 56088 19 
56088 56009 17 
56088 56087 11 
56087 56008 20 
56083 56082 15 
56082 56003 19 
56082 56081 12 
56081 56002 16 
56081 56080 11 
56080 56001 20 
56080 56079 15 
56079 56000 20 
56079 56078 17 
56078 55999 14 
56078 56077 12 
56077 55998 10 
56077 56076 10 
56076 55997 20 
56076 56075 17 
56075 55996 12 
56075 56074 14 
56074 55995 18 
56074 56073 20 
56073 55994 15 
56073 56072 19 
56072 55993 15 
56072 56071 20 
56071 55992 11 
56071 56070 19 
56070 56069 13 
56069 55991 17 
56069 56068 19 
56068 55990 20 
56067 55989 15 
56066 55987 17 
56066 56065 12 
56065 55986 13 
56065 56064 18 
56064 55985 18 
56064 56063 15 
56063 55984 16 
56063 56062 20 
56062 55983 15 
56060 55982 13 
56059 55981 10 
56045 56044 18 
56044 55966 16 
56044 56043 11 
56043 55965 12 
56043 56042 18 
56042 55964 12 
56042 56041 17 
56041 56040 11 
56039 55961 20 
56039 56038 16 
56038 55960 11 
56038 56037 16 
56037 55959 18 
56036 55958 17 
56036 56035 18 
56035 56034 20 
56034 56033 17 
56033 55957 17 
56033 56032 16 
56032 55956 11 
56032 56031 18 
56031 55955 13 
56031 56030 19 
56030 55954 10 
56029 55953 18 
56029 56028 12 
56028 55952 17 
56028 56027 11 
56027 55951 14 
56027 56026 14 
56026 55950 12 
56026 56025 11 
56025 55949 10 
56025 56024 19 
56024 55948 14 
56024 56023 11 
56023 55947 20 
56023 56022 16 
56022 55946 14 
56022 56021 12 
56011 56010 20 
56010 56009 11 
56007 56006 15 
56006 55930 17 
56005 55929 13 
56004 56003 20 
56003 56002 12 
56002 55926 15 
56002 56001 14 
56001 55925 17 
56001 56000 12 
56000 55924 16 
56000 55999 16 
55999 55923 18 
55999 55998 12 
55998 55922 20 
55998 55997 16 
55997 55921 18 
55997 55996 16 
55996 55920 17 
55996 55995 15 
55995 55919 16 
55995 55994 10 
55994 55918 13 
55994 55993 14 
55993 55917 18 
55993 55992 11 
55992 55916 17 
55991 55914 11 
55991 55990 17 
55990 55913 18 
55989 55910 17 
55989 55988 18 
55988 55909 18 
55988 55987 11 
55987 55908 15 
55987 55986 17 
55986 55907 12 
55986 55985 17 
55985 55906 10 
55985 55984 10 
55984 55905 13 
55984 55983 14 
55983 55904 19 
55982 55902 17 
55982 55981 11 
55981 55901 18 
55980 55900 18 
55966 55965 20 
55965 55964 12 
55960 55959 15 
55959 55879 16 
55958 55877 15 
55957 55876 18 
55957 55956 20 
55956 55875 16 
55956 55955 16 
55955 55874 15 
55955 55954 10 
55954 55873 11 
55953 55952 15 
55952 55872 16 
55952 55951 11 
55951 55871 16 
55951 55950 17 
55950 55870 14 
55950 55949 18 
55949 55869 16 
55949 55948 20 
55948 55868 19 
55948 55947 18 
55947 55867 19 
55947 55946 16 
55946 55866 20 
55934 55854 19 
55934 55933 19 
55933 55853 15 
55932 55852 13 
55932 55931 16 
55931 55851 14 
55931 55930 18 
55930 55850 12 
55929 55849 14 
55928 55848 18 
55927 55847 18 
55927 55926 14 
55926 55846 10 
55926 55925 13 
55925 55845 20 
55925 55924 10 
55924 55844 16 
55924 55923 20 
55923 55843 11 
55923 55922 12 
55922 55842 17 
55922 55921 15 
55921 55841 16 
55921 55920 19 
55920 55840 14 
55920 55919 20 
55919 55839 10 
55919 55918 11 
55918 55838 19 
55918 55917 20 
55917 55916 15 
55916 55915 15 
55915 55914 15 
55914 55913 20 
55913 55912 16 
55912 55911 18 
55910 55820 19 
55910 55909 13 
55909 55819 15 
55909 55908 19 
55908 55818 20 
55908 55907 12 
55907 55817 19 
55907 55906 12 
55906 55816 20 
55906 55905 16 
55905 55815 11 
55905 55904 20 
55904 55814 20 
55904 55903 16 
55903 55813 17 
55902 55812 14 
55902 55901 18 
55901 55811 15 
55900 55810 20 
55880 55790 16 
55879 55878 16 
55878 55788 19 
55877 55786 20 
55876 55785 15 
55876 55875 14 
55875 55784 12 
55875 55874 11 
55874 55783 10 
55874 55873 14 
55873 55782 13 
55872 55780 11 
55872 55871 19 
55871 55779 20 
55871 55870 12 
55870 55778 20 
55870 55869 13 
55869 55777 13 
55869 55868 14 
55868 55867 12 
55867 55776 19 
55866 55775 20 
55866 55865 18 
55865 55774 16 
55855 55854 17 
55854 55763 18 
55854 55853 16 
55853 55762 12 
55853 55852 10 
55852 55761 11 
55852 55851 14 
55851 55760 17 
55851 55850 19 
55849 55848 10 
55830 55829 19 
55829 55738 16 
55829 55828 18 
55828 55737 11 
55828 55827 10 
55827 55736 15 
55827 55826 20 
55826 55735 14 
55826 55825 19 
55825 55734 11 
55825 55824 13 
55824 55733 20 
55824 55823 19 
55822 55821 18 
55821 55729 11 
55820 55727 17 
55820 55819 15 
55819 55726 10 
55819 55818 12 
55818 55725 12 
55818 55817 13 
55817 55724 11 
55817 55816 11 
55816 55723 15 
55816 55815 20 
55815 55722 15 
55815 55814 18 
55814 55721 16 
55814 55813 14 
55813 55720 13 
55812 55718 17 
55812 55811 16 
55811 55717 17 
55790 55789 18 
55788 55694 17 
55788 55787 18 
55787 55693 20 
55787 55786 13 
55786 55692 18 
55785 55691 15 
55785 55784 13 
55784 55690 19 
55784 55783 14 
55783 55782 12 
55782 55689 11 
55782 55781 18 
55781 55688 13 
55780 55685 10 
55780 55779 19 
55779 55684 11 
55779 55778 20 
55778 55683 15 
55778 55777 14 
55777 55682 11 
55776 55680 19 
55776 55775 16 
55775 55679 10 
55775 55774 18 
55737 55641 17 
55736 55640 19 
55735 55639 16 
55734 55638 14 
55731 55635 11 
55730 55634 15 
55730 55729 15 
55729 55728 11 
55728 55632 12 
55727 55629 15 
55727 55726 10 
55726 55628 10 
55726 55725 15 
55725 55627 16 
55725 55724 17 
55724 55626 18 
55724 55723 16 
55723 55625 17 
55723 55722 16 
55722 55624 11 
55722 55721 16 
55721 55623 12 
55721 55720 12 
55720 55622 20 
55720 55719 14 
55719 55621 12 
55718 55717 14 
55717 55619 16 
55716 55618 19 
55695 55694 18 
55694 55596 13 
55694 55693 13 
55693 55595 15 
55693 55692 15 
55692 55594 15 
55691 55690 16 
55690 55593 13 
55689 55688 10 
55688 55687 20 
55687 55592 13 
55687 55686 12 
55686 55591 20 
55686 55685 18 
55685 55590 11 
55685 55684 11 
55684 55683 12 
55683 55682 18 
55682 55681 12 
55681 55589 11 
55681 55680 11 
55680 55588 13 
55680 55679 17 
55679 55587 13 
55679 55678 15 
55678 55586 14 
55675 55583 13 
55674 55582 13 
55673 55581 11 
55672 55580 17 
55671 55579 19 
55656 55564 10 
55655 55563 20 
55642 55550 15 
55642 55641 17 
55641 55549 13 
55640 55639 15 
55637 55545 19 
55636 55544 14 
55636 55635 16 
55635 55543 14 
55634 55542 12 
55633 55541 12 
55632 55540 12 
55631 55539 13 
55631 55630 11 
55630 55538 14 
55629 55628 20 
55628 55627 19 
55627 55537 20 
55627 55626 18 
55626 55536 13 
55626 55625 12 
55625 55535 17 
55625 55624 12 
55624 55534 16 
55624 55623 18 
55623 55533 19 
55623 55622 19 
55622 55532 10 
55622 55621 14 
55621 55531 20 
55621 55620 13 
55620 55530 18 
55619 55528 18 
55619 55618 17 
55618 55527 16 
55617 55526 12 
55596 55505 20 
55596 55595 11 
55595 55504 20 
55595 55594 13 
55594 55503 18 
55593 55502 10 
55592 55501 17 
55592 55591 18 
55591 55500 15 
55591 55590 10 
55590 55499 10 
55589 55588 14 
55588 55497 15 
55588 55587 12 
55587 55496 20 
55586 55495 13 
55585 55494 18 
55584 55493 16 
55584 55583 18 
55551 55460 18 
55550 55459 11 
55550 55549 11 
55549 55458 15 
55549 55548 10 
55548 55457 17 
55548 55547 17 
55547 55546 20 
55546 55545 15 
55545 55456 17 
55545 55544 15 
55544 55455 17 
55544 55543 18 
55543 55454 17 
55543 55542 18 
55542 55453 13 
55542 55541 13 
55541 55452 16 
55541 55540 20 
55540 55451 16 
55540 55539 19 
55539 55450 14 
55539 55538 16 
55538 55449 20 
55537 55536 17 
55536 55448 17 
55536 55535 16 
55535 55447 14 
55535 55534 20 
55534 55446 15 
55534 55533 20 
55533 55445 17 
55533 55532 19 
55532 55444 13 
55532 55531 19 
55531 55443 20 
55531 55530 15 
55530 55442 19 
55530 55529 15 
55529 55441 11 
55528 55439 12 
55527 55438 18 
55526 55437 13 
55525 55436 20 
55505 55416 14 
55505 55504 13 
55504 55415 10 
55504 55503 10 
55503 55414 15 
55502 55412 13 
55501 55500 10 
55500 55499 20 
55499 55498 15 
55498 55411 14 
55497 55407 14 
55497 55496 15 
55496 55406 20 
55496 55495 10 
55495 55405 19 
55495 55494 19 
55494 55404 11 
55458 55368 10 
55458 55457 14 
55457 55367 19 
55456 55455 17 
55455 55366 17 
55455 55454 19 
55454 55365 11 
55454 55453 19 
55453 55364 14 
55453 55452 14 
55452 55363 19 
55452 55451 13 
55451 55362 12 
55450 55361 20 
55449 55360 18 
55448 55356 17 
55448 55447 12 
55447 55355 12 
55447 55446 18 
55446 55354 16 
55446 55445 10 
55445 55353 18 
55445 55444 16 
55444 55352 11 
55444 55443 12 
55443 55351 15 
55443 55442 16 
55442 55350 12 
55442 55441 10 
55441 55349 17 
55441 55440 14 
55440 55348 13 
55439 55438 14 
55438 55346 18 
55438 55437 17 
55437 55345 19 
55436 55344 18 
55417 55325 19 
55416 55324 13 
55416 55415 12 
55415 55323 20 
55415 55414 10 
55414 55322 16 
55414 55413 14 
55413 55321 20 
55412 55320 11 
55411 55318 13 
55411 55410 13 
55410 55317 17 
55410 55409 20 
55409 55316 15 
55409 55408 15 
55408 55315 19 
55408 55407 20 
55407 55406 20 
55406 55314 16 
55406 55405 15 
55405 55313 18 
55404 55312 18 
55369 55277 16 
55369 55368 16 
55368 55276 18 
55368 55367 15 
55367 55275 18 
55366 55365 15 
55365 55364 10 
55364 55363 18 
55363 55274 19 
55363 55362 18 
55362 55273 17 
55361 55272 17 
55361 55360 13 
55360 55271 19 
55359 55270 13 
55359 55358 17 
55358 55269 16 
55358 55357 12 
55357 55268 10 
55356 55355 10 
55355 55354 18 
55354 55353 14 
55353 55352 10 
55352 55267 16 
55352 55351 11 
55351 55266 13 
55351 55350 16 
55350 55265 19 
55350 55349 10 
55349 55264 14 
55349 55348 17 
55348 55263 10 
55348 55347 15 
55347 55262 15 
55346 55259 13 
55346 55345 17 
55345 55258 17 
55344 55257 17 
55324 55323 13 
55323 55236 20 
55323 55322 13 
55322 55321 14 
55321 55234 19 
55320 55231 17 
55320 55319 10 
55319 55230 18 
55318 55317 19 
55317 55229 15 
55317 55316 20 
55316 55228 13 
55316 55315 12 
55315 55227 10 
55314 55225 10 
55314 55313 10 
55313 55224 16 
55313 55312 18 
55312 55223 14 
55282 55193 16 
55282 55281 19 
55278 55189 20 
55278 55277 13 
55277 55188 17 
55277 55276 15 
55276 55187 18 
55276 55275 14 
55275 55186 12 
55274 55185 15 
55274 55273 20 
55273 55184 19 
55272 55183 10 
55272 55271 16 
55269 55268 20 
55268 55179 20 
55267 55266 10 
55266 55265 14 
55265 55264 16 
55264 55263 12 
55263 55262 16 
55262 55175 11 
55262 55261 12 
55261 55174 13 
55261 55260 18 
55260 55173 14 
55260 55259 16 
55259 55172 13 
55259 55258 14 
55258 55171 13 
55258 55257 20 
55257 55170 20 
55234 55147 19 
55234 55233 20 
55233 55146 16 
55233 55232 17 
55232 55145 14 
55232 55231 12 
55231 55144 16 
55231 55230 16 
55230 55143 16 
55229 55228 17 
55228 55227 14 
55227 55226 16 
55226 55225 12 
55225 55224 14 
55224 55142 16 
55224 55223 17 
55223 55141 15 
55216 55134 10 
55215 55133 19 
55194 55112 20 
55194 55193 15 
55190 55108 11 
55190 55189 12 
55189 55188 19 
55188 55106 14 
55188 55187 20 
55187 55105 18 
55187 55186 10 
55186 55104 16 
55185 55184 13 
55184 55183 13 
55183 55102 15 
55183 55182 20 
55182 55101 12 
55180 55099 13 
55179 55098 16 
55179 55178 13 
55178 55097 18 
55178 55177 11 
55177 55096 15 
55177 55176 17 
55176 55095 20 
55175 55174 14 
55174 55074 17 
55174 55173 18 
55173 55073 12 
55173 55172 12 
55172 55072 20 
55172 55171 17 
55171 55071 14 
55171 55170 15 
55170 55070 16 
55147 55146 10 
55146 55046 18 
55146 55145 13 
55145 55045 11 
55145 55144 15 
55144 55044 16 
55144 55143 17 
55143 55043 16 
55142 55042 20 
55142 55141 18 
55141 55041 16 
55135 55035 13 
55135 55134 10 
55134 55034 17 
55133 55033 13 
55132 55032 11 
55131 55031 14 
55113 55112 17 
55108 55008 17 
55108 55107 16 
55107 55106 12 
55106 55006 16 
55105 55005 20 
55105 55104 10 
55104 55004 20 
55104 55103 16 
55103 55003 20 
55102 54995 17 
55102 55101 15 
55101 54994 18 
55100 54993 13 
55100 55099 16 
55100 55101 19 
55099 54992 17 
55097 55096 12 
55091 55090 19 
55090 55089 20 
55086 55085 18 
55085 55084 20 
55084 55083 18 
55083 55082 12 
55082 55081 14 
55080 55079 17 
55079 55078 18 
55078 55077 13 
55076 55075 17 
55075 54958 19 
55074 54954 16 
55074 55073 19 
55073 54953 16 
55073 55072 20 
55072 54952 16 
55072 55071 12 
55071 54951 20 
55070 54950 16 
55068 54948 15 
55047 54927 18 
55047 55046 16 
55046 54926 17 
55046 55045 11 
55045 54925 12 
55045 55044 10 
55044 54924 11 
55044 55043 17 
55043 54923 15 
55042 54921 12 
55042 55041 12 
55041 54920 20 
55038 54917 18 
55035 54914 12 
55035 55034 16 
55032 54911 14 
55032 55031 11 
55031 54910 10 
55031 55030 11 
55030 54909 17 
55030 55029 10 
55029 54908 18 
55028 54907 17 
55027 54906 19 
55025 54904 20 
55024 54903 20 
55022 54901 10 
55020 54899 20 
55019 54898 17 
55018 54897 13 
55006 54885 18 
55005 54884 11 
55004 54883 18 
55003 54882 13 
55002 54881 18 
55001 54880 20 
55000 54879 15 
54999 54878 14 
54998 54877 18 
54998 54997 18 
54996 54995 20 
54987 54866 15 
54986 54865 18 
54985 54864 17 
54984 54863 17 
54971 54970 18 
54970 54969 11 
54969 54968 17 
54968 54967 14 
54966 54965 17 
54965 54964 11 
54964 54963 20 
54962 54961 20 
54957 54956 15 
54956 54955 10 
54955 54832 15 
54954 54953 14 
54953 54952 11 
54952 54951 17 
54951 54831 15 
54951 54950 18 
54949 54829 15 
54949 54950 16 
54948 54828 10 
54947 54827 18 
54927 54807 15 
54927 54926 17 
54926 54806 18 
54926 54925 12 
54925 54805 10 
54925 54924 18 
54924 54804 13 
54924 54923 15 
54923 54803 18 
54923 54922 12 
54922 54802 11 
54921 54801 10 
54921 54920 14 
54920 54800 12 
54919 54799 14 
54918 54798 19 
54918 54917 18 
54917 54797 19 
54914 54794 14 
54912 54792 13 
54911 54791 15 
54911 54910 17 
54910 54790 12 
54910 54909 20 
54909 54789 19 
54909 54908 14 
54908 54788 11 
54908 54907 11 
54907 54787 13 
54906 54786 11 
54905 54785 12 
54904 54784 15 
54904 54903 19 
54903 54783 20 
54903 54902 18 
54902 54782 12 
54901 54781 16 
54900 54780 20 
54899 54779 16 
54898 54778 14 
54897 54777 10 
54896 54776 19 
54895 54775 13 
54894 54774 13 
54894 54893 19 
54870 54869 13 
54869 54868 14 
54869 54990 17 
54868 54867 12 
54868 54989 15 
54867 54866 17 
54866 54865 16 
54862 54755 19 
54861 54754 18 
54860 54753 16 
54859 54752 19 
54858 54751 13 
54857 54750 10 
54856 54749 15 
54855 54748 18 
54853 54746 13 
54847 54968 19 
54845 54844 20 
54831 54830 15 
54807 54694 20 
54807 54806 17 
54806 54693 14 
54806 54805 11 
54805 54692 20 
54805 54804 12 
54804 54691 11 
54804 54803 16 
54803 54690 18 
54803 54802 17 
54802 54689 12 
54801 54688 19 
54801 54800 12 
54800 54687 11 
54799 54686 19 
54798 54685 20 
54798 54797 20 
54797 54684 14 
54794 54681 11 
54792 54679 18 
54791 54678 17 
54791 54790 15 
54790 54677 15 
54790 54789 14 
54789 54676 16 
54789 54788 12 
54788 54675 13 
54788 54787 17 
54787 54674 16 
54786 54673 12 
54785 54672 10 
54784 54671 14 
54783 54670 16 
54783 54782 16 
54782 54669 13 
54781 54668 17 
54776 54663 17 
54776 54775 14 
54762 54761 17 
54761 54760 20 
54760 54759 12 
54758 54757 19 
54757 54756 17 
54755 54754 18 
54754 54753 20 
54753 54752 17 
54751 54750 13 
54750 54749 20 
54749 54748 17 
54748 54747 20 
54747 54746 15 
54746 54745 20 
54724 54723 17 
54722 54721 13 
54721 54720 20 
54720 54628 15 
54720 54719 16 
54719 54627 17 
54719 54718 15 
54717 54624 15 
54694 54601 10 
54694 54693 14 
54693 54600 14 
54693 54692 14 
54692 54599 16 
54692 54691 14 
54691 54598 20 
54691 54690 20 
54690 54597 17 
54689 54596 19 
54688 54595 13 
54688 54687 15 
54687 54594 20 
54686 54593 16 
54685 54592 18 
54684 54591 10 
54679 54678 19 
54678 54585 20 
54678 54677 18 
54677 54584 16 
54677 54676 20 
54676 54583 15 
54676 54675 19 
54675 54582 19 
54675 54674 19 
54674 54581 18 
54673 54580 11 
54672 54579 12 
54671 54670 20 
54670 54577 19 
54668 54575 12 
54667 54574 11 
54666 54573 11 
54664 54571 17 
54664 54663 18 
54641 54561 15 
54640 54560 10 
54639 54559 15 
54638 54558 14 
54637 54557 16 
54636 54556 17 
54635 54555 20 
54634 54554 16 
54633 54553 13 
54629 54549 17 
54628 54548 14 
54627 54547 12 
54627 54626 15 
54626 54546 20 
54626 54625 14 
54625 54545 15 
54624 54544 12 
54600 54520 19 
54600 54599 20 
54599 54519 16 
54599 54598 20 
54598 54518 14 
54598 54597 14 
54597 54517 16 
54597 54596 20 
54596 54516 14 
54595 54515 11 
54595 54594 14 
54594 54514 18 
54593 54513 16 
54592 54512 19 
54592 54591 20 
54591 54511 19 
54585 54505 13 
54585 54584 19 
54584 54583 15 
54583 54582 11 
54582 54581 19 
54581 54580 11 
54580 54504 20 
54580 54579 10 
54579 54503 18 
54579 54578 18 
54578 54502 12 
54578 54577 18 
54577 54501 18 
54577 54576 10 
54576 54500 14 
54576 54575 16 
54575 54499 14 
54575 54574 10 
54574 54498 11 
54574 54573 10 
54573 54497 16 
54573 54572 13 
54572 54496 20 
54572 54571 14 
54571 54495 11 
54571 54570 17 
54570 54494 19 
54570 54569 19 
54569 54568 13 
54569 54662 15 
54568 54567 16 
54568 54661 19 
54567 54660 11 
54565 54493 19 
54564 54492 16 
54563 54491 17 
54563 54562 10 
54562 54490 13 
54562 54561 15 
54561 54489 10 
54561 54560 10 
54560 54488 11 
54559 54487 12 
54558 54486 16 
54555 54483 17 
54552 54480 12 
54552 54553 12 
54551 54479 12 
54550 54478 11 
54550 54549 16 
54549 54477 19 
54548 54476 14 
54547 54475 17 
54546 54474 16 
54545 54473 12 
54544 54472 14 
54521 54449 16 
54520 54448 12 
54520 54519 16 
54519 54447 20 
54519 54518 18 
54518 54446 15 
54518 54517 11 
54517 54445 20 
54517 54516 11 
54516 54444 19 
54515 54441 10 
54515 54514 19 
54514 54440 15 
54513 54439 15 
54512 54438 17 
54512 54511 18 
54511 54437 17 
54506 54432 20 
54505 54431 10 
54504 54503 19 
54503 54430 18 
54503 54502 12 
54502 54429 16 
54502 54501 20 
54501 54428 12 
54501 54500 14 
54500 54427 10 
54500 54499 20 
54499 54426 20 
54499 54498 19 
54498 54425 10 
54498 54497 18 
54497 54424 14 
54497 54496 12 
54496 54423 11 
54496 54495 18 
54495 54422 10 
54495 54494 20 
54494 54421 14 
54493 54420 11 
54493 54492 13 
54492 54419 19 
54492 54491 15 
54491 54418 14 
54491 54490 17 
54490 54417 11 
54490 54489 19 
54489 54416 14 
54489 54488 12 
54488 54415 17 
54487 54414 20 
54474 54401 17 
54473 54400 18 
54472 54399 12 
54449 54376 16 
54449 54448 14 
54448 54375 18 
54448 54447 13 
54447 54446 12 
54446 54445 14 
54445 54372 17 
54445 54444 10 
54444 54371 15 
54444 54443 15 
54443 54370 18 
54443 54442 14 
54442 54369 11 
54441 54366 19 
54441 54440 15 
54440 54365 19 
54439 54364 15 
54438 54363 13 
54432 54357 20 
54431 54356 12 
54430 54429 10 
54429 54428 17 
54428 54354 17 
54428 54427 11 
54427 54353 20 
54427 54426 17 
54426 54352 15 
54426 54425 20 
54425 54351 13 
54425 54424 15 
54424 54350 14 
54424 54423 15 
54423 54349 16 
54423 54422 11 
54422 54348 12 
54422 54421 16 
54421 54347 12 
54420 54419 16 
54419 54346 12 
54418 54345 18 
54418 54417 20 
54417 54344 15 
54417 54416 11 
54416 54415 14 
54401 54328 17 
54400 54327 13 
54399 54326 12 
54374 54301 20 
54373 54300 14 
54372 54299 18 
54372 54371 15 
54371 54298 17 
54371 54370 19 
54370 54297 20 
54370 54369 16 
54369 54296 19 
54369 54368 18 
54368 54295 15 
54368 54367 10 
54367 54294 13 
54366 54287 11 
54366 54365 19 
54365 54286 19 
54364 54285 14 
54364 54363 20 
54363 54284 14 
54357 54278 10 
54356 54277 16 
54356 54355 14 
54355 54276 15 
54354 54275 16 
54354 54353 12 
54353 54274 14 
54353 54352 14 
54352 54273 14 
